country,fifa_code,squad_players,fc26_players_matched,player_data_coverage,player_features_available,top_11_avg_overall,top_23_avg_overall,squad_avg_overall,squad_avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physical,team_clean,latest_fifa_rank,latest_fifa_total_points,latest_elo,confederation,coach,best_wc_result,debut_2026,fifa_rank,current_rank_override,forecast_fifa_rank,fifa_rank_score,elo_score,squad_score,attack_score_raw,attack_score,defense_score_raw,defense_score,coverage_weight,weighted_squad_score,weighted_attack_score,weighted_defense_score,recent_form_score,recent_form_score_capped,power_score,current_tier_calibration,adjusted_fifa_rank
Algeria,ALG,26,15,0.5769,0,77.81818181818181,75.33333333333333,75.33333333333333,26.73333333333333,72.0,66.0,71.06666666666666,77.4,62.333333333333336,69.26666666666667,algeria,66.0,473.83,2020.5,CAF,Vladimir Petkovic,Round of 16 (2014),No,36,28.0,28.0,0.8125,0.5,0.5449092817513866,70.74666666666667,0.7525710828796134,64.76,0.7810086828006647,0.5769,0.6581269146423749,0.777927007713249,0.7943326591077035,0.8400476159354007,0.8304059503580103,0.7320224430058605,0.0,19.0
Argentina,ARG,26,25,0.9615,1,84.63636363636364,81.95652173913044,81.52,28.76,74.76,69.64,75.96,70.32,65.48,75.24,argentina,5.0,1241.45,2020.5,CONMEBOL,Lionel Scaloni,"Winners (1978,1986,2022)",No,3,3.0,3.0,0.9861111111111112,0.5,0.8875393612235716,72.38,0.826678765880218,68.896,0.9796711620173649,0.9615,0.891334373594242,0.8328169111716075,0.9799191000574742,1.0,0.9951388888888889,0.912147558759447,0.036,4.0
Australia,AUS,26,21,0.8077,1,70.9090909090909,67.95238095238095,67.95238095238095,26.52380952380953,71.14285714285714,55.57142857142857,59.90476190476191,57.66666666666666,56.19047619047619,71.42857142857143,australia,36.0,718.33,2020.5,AFC,Tony Popovic,"Round of 16 (2006,2022)",No,26,,36.0,0.7569444444444444,0.5,0.16307863676284717,60.188095238095244,0.27350704347074634,61.523809523809526,0.6255663174192636,0.8077,0.2772790315800183,0.36647205567798846,0.6508303312462058,0.5999781624015694,0.6549163611165756,0.54122785991989,0.0,35.0
Austria,AUT,26,23,0.8846,1,79.0909090909091,75.82608695652173,75.82608695652173,28.347826086956523,69.73913043478261,60.82608695652174,68.91304347826087,63.78260869565217,64.34782608695652,72.95652173913044,austria,26.0,844.7,2020.5,UEFA,Ralf Rangnick,Third place (1954),No,23,24.0,24.0,0.8402777777777778,0.5,0.5704003598740437,65.22173913043478,0.5018937899471321,67.36086956521739,0.9059349874296169,0.8846,0.6015442139001346,0.5409433021427886,0.8983581454357946,0.9003996136959939,0.8793569711246183,0.68549139980588,-0.012,23.0
Belgium,BEL,26,25,0.9615,1,82.9090909090909,79.65217391304348,78.84,27.36,71.2,66.16,73.16,69.04,60.28,73.16,belgium,3.0,1298.32,2020.5,UEFA,Domenico Tedesco,Semi-finals (2018),No,9,9.0,9.0,0.9444444444444444,0.5,0.7683310841205578,69.494,0.6957350272232309,64.788,0.7823535932015511,0.9615,0.7751114484930275,0.7053103397862476,0.7885940909744025,0.9108191243322138,0.9225879863714945,0.7938752691883119,-0.006,10.0
Bosnia And Herzegovina,BIH,26,19,0.7308,1,74.45454545454545,70.84210526315789,70.84210526315789,26.31578947368421,66.52631578947368,57.36842105263158,61.0,62.73684210526316,52.8421052631579,70.89473684210526,bosnia and herzegovina,40.0,692.93,2020.5,UEFA,Sergej Barbarez,Group stage (2014),No,52,,40.0,0.7291666666666667,0.5,0.3125695480266115,61.18157894736842,0.3185834368134495,59.160526315789475,0.5120518828940073,0.7308,0.4247174923645144,0.4291124422899356,0.5704991826856072,0.4835282856872224,0.569501719030028,0.5654703419285972,0.0,30.0
Brazil,BRA,26,17,0.6538,1,85.9090909090909,83.23529411764706,83.23529411764706,27.823529411764707,76.3529411764706,69.94117647058823,73.11764705882354,70.05882352941177,63.94117647058823,78.05882352941177,brazil,2.0,1430.57,2020.5,CONMEBOL,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,6,6.0,6.0,0.9652777777777778,0.5,0.9536926781508821,72.04117647058824,0.8113056474858553,68.88235294117646,0.9790156594690331,0.6538,0.9577034396417134,0.8646107989929188,0.9742596048275205,0.7023008056682469,0.7943427459065827,0.895914265642234,0.018,5.0
Cabo Verde,CPV,26,10,0.3846,0,71.1,71.1,71.1,29.1,72.0,55.5,63.0,68.8,49.6,67.3,cape verde,,,2020.5,CAF,Pedro Brito,First appearance,Yes,70,,145.0,0.0,0.5,0.32591093117408876,63.334999999999994,0.4162885662431942,55.795,0.35039719194531666,0.3846,0.12534534412955453,0.1601045825771325,0.13476276002216878,0.5267027159738858,0.34235676538302584,0.14364973101687425,0.0,48.0
Canada,CAN,26,23,0.8846,1,76.54545454545455,72.26086956521739,72.26086956521739,26.73913043478261,74.0,62.130434782608695,64.30434782608695,63.69565217391305,56.130434782608695,70.6086956521739,canada,79.0,410.93,2020.5,CONCACAF,Jesse Marsch,"Group stage (1986,2022)",No,30,,79.0,0.45833333333333337,0.5,0.3859649122807017,65.36086956521739,0.5082064231042374,61.19782608695652,0.6099085133213915,0.8846,0.3943162280701754,0.502451068544675,0.5924167375507696,0.56649237763149,0.5286367121271351,0.4673855909785953,0.0,39.0
Colombia,COL,26,19,0.7308,1,79.0,77.15789473684211,77.15789473684211,29.05263157894737,74.57894736842105,67.89473684210526,70.63157894736842,68.21052631578948,60.21052631578947,74.94736842105263,colombia,16.0,985.97,2020.5,CONMEBOL,Néstor Lorenzo,Quarter-finals (2014),No,13,13.0,13.0,0.9166666666666666,0.5,0.6392972985770771,69.97894736842106,0.7177380838666547,65.36842105263158,0.8102326757221885,0.7308,0.7139651324667946,0.7712896583564179,0.838884706084442,0.6429996052492774,0.7387830767453636,0.7804082935381095,0.0,14.0
