date,year,home_team,away_team,home_team_clean,away_team_clean,tournament,home_matches_before,away_matches_before,matches_before_diff,home_win_rate_before,away_win_rate_before,win_rate_diff,home_draw_rate_before,away_draw_rate_before,draw_rate_diff,home_avg_goals_for_before,away_avg_goals_for_before,avg_goals_for_diff,home_avg_goals_against_before,away_avg_goals_against_before,avg_goals_against_diff,home_goal_diff_per_match_before,away_goal_diff_per_match_before,goal_diff_per_match_diff,is_neutral,is_world_cup,is_friendly,result,_row_id,home_fifa_ref_date,home_fifa_rank,home_fifa_total_points,away_fifa_ref_date,away_fifa_rank,away_fifa_total_points,home_ref_date,home_elo,away_ref_date,away_elo,fifa_rank_advantage,fifa_points_diff,elo_diff,is_qualifier,is_nations_league,is_continental_cup,rank_gap_abs,home_rank_strength,away_rank_strength,rank_strength_diff,home_is_top10,away_is_top10,top10_diff,home_is_top25,away_is_top25,top25_diff,attack_form_diff,form_score_diff
2018-01-02,2018,Iraq,United Arab Emirates,iraq,united arab emirates,Gulf Cup,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,2017-12-21,79.0,437.62,2017-12-21,73.0,476.21,,,,,-6.0,-38.589999999999975,,0,0,0,6.0,0.012658227848101266,0.0136986301369863,-0.001040402288885035,0,0,0,0,0,0,0.0,0.0
2018-01-02,2018,Oman,Bahrain,oman,bahrain,Gulf Cup,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,2,1,2017-12-21,101.0,351.32,2017-12-21,115.0,282.39,,,,,14.0,68.93,,0,0,0,14.0,0.009900990099009901,0.008695652173913044,0.0012053379250968575,0,0,0,0,0,0,0.0,0.0
2018-01-05,2018,Oman,United Arab Emirates,oman,united arab emirates,Gulf Cup,1,1,0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,1,2,2017-12-21,101.0,351.32,2017-12-21,73.0,476.21,,,,,-28.0,-124.88999999999999,,0,0,0,28.0,0.009900990099009901,0.0136986301369863,-0.0037976400379763995,0,0,0,0,0,0,1.0,0.6000000000000001
2018-01-07,2018,Estonia,Sweden,estonia,sweden,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,3,2017-12-21,89.0,396.53,2017-12-21,18.0,997.82,,,,,-71.0,-601.2900000000001,,0,0,0,71.0,0.011235955056179775,0.05555555555555555,-0.04431960049937578,0,0,0,0,1,-1,0.0,0.0
2018-01-11,2018,Indonesia,Iceland,indonesia,iceland,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,4,2017-12-21,162.0,121.27,2017-12-21,22.0,909.55,,,,,-140.0,-788.28,,0,0,0,140.0,0.006172839506172839,0.045454545454545456,-0.03928170594837262,0,0,0,0,1,-1,0.0,0.0
2018-01-11,2018,Denmark,Sweden,denmark,sweden,Friendly,0,1,-1,0.5,0.0,0.5,0.25,1.0,-0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,5,2017-12-21,12.0,1098.82,2017-12-21,18.0,997.82,,,,,6.0,100.99999999999989,,0,0,0,6.0,0.08333333333333333,0.05555555555555555,0.027777777777777776,0,0,0,1,1,0,0.0,0.125
2018-01-11,2018,Jordan,Finland,jordan,finland,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,6,2017-12-21,107.0,312.92,2017-12-21,66.0,531.42,,,,,-41.0,-218.49999999999994,,0,0,0,41.0,0.009345794392523364,0.015151515151515152,-0.005805720758991788,0,0,0,0,0,0,0.0,0.0
2018-01-14,2018,Indonesia,Iceland,indonesia,iceland,Friendly,1,1,0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,6.0,-6.0,6.0,0.0,6.0,-6.0,6.0,-12.0,0,0,1,0,7,2017-12-21,162.0,121.27,2017-12-21,22.0,909.55,,,,,-140.0,-788.28,,0,0,0,140.0,0.006172839506172839,0.045454545454545456,-0.03928170594837262,0,0,0,0,1,-1,-12.0,-3.55
2018-01-27,2018,Moldova,South Korea,moldova,south korea,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,8,2018-01-18,166.0,112.08,2018-01-18,59.0,569.11,,,,,-107.0,-457.03000000000003,,0,0,0,107.0,0.006024096385542169,0.01694915254237288,-0.010925056156830712,0,0,0,0,0,0,0.0,0.0
2018-01-28,2018,United States,Bosnia and Herzegovina,united states,bosnia and herzegovina,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,9,2018-01-18,25.0,867.03,2018-01-18,38.0,752.52,,,,,13.0,114.50999999999999,,0,0,0,13.0,0.04,0.02631578947368421,0.013684210526315792,0,0,0,1,0,1,0.0,0.0
2018-01-30,2018,Azerbaijan,Moldova,azerbaijan,moldova,Friendly,0,1,-1,0.5,0.0,0.5,0.25,0.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,1,0,1,1,11,2018-01-18,118.0,281.31,2018-01-18,166.0,112.08,,,,,48.0,169.23000000000002,,0,0,0,48.0,0.00847457627118644,0.006024096385542169,0.0024504798856442717,0,0,0,0,0,0,1.0,0.575
2018-01-30,2018,Jamaica,South Korea,jamaica,south korea,Friendly,0,1,-1,0.5,1.0,-0.5,0.25,0.0,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1,0,1,1,12,2018-01-18,55.0,625.38,2018-01-18,59.0,569.11,,,,,4.0,56.26999999999998,,0,0,0,4.0,0.01818181818181818,0.01694915254237288,0.0012326656394452996,0,0,0,0,0,0,-1.0,-0.47500000000000003
2018-01-31,2018,Mexico,Bosnia and Herzegovina,mexico,bosnia and herzegovina,Friendly,0,1,-1,0.5,0.0,0.5,0.25,1.0,-0.75,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,1,2,13,2018-01-18,17.0,1032.32,2018-01-18,38.0,752.52,,,,,21.0,279.79999999999995,,0,0,0,21.0,0.058823529411764705,0.02631578947368421,0.032507739938080496,0,0,0,1,0,1,0.0,0.125
2018-02-03,2018,Latvia,South Korea,latvia,south korea,Friendly,0,2,-2,0.5,0.5,0.0,0.25,0.5,-0.25,1.0,1.5,-0.5,1.0,1.0,0.0,0.0,0.5,-0.5,1,0,1,0,14,2018-01-18,131.0,233.01,2018-01-18,59.0,569.11,,,,,-72.0,-336.1,,0,0,0,72.0,0.007633587786259542,0.01694915254237288,-0.00931556475611334,0,0,0,0,0,0,-0.5,-0.175
2018-02-26,2018,Saudi Arabia,Moldova,saudi arabia,moldova,Friendly,0,2,-2,0.5,0.0,0.5,0.25,0.5,-0.25,1.0,0.0,1.0,1.0,0.5,0.5,0.0,-0.5,0.5,0,0,1,2,15,2018-02-15,64.0,521.5,2018-02-15,166.0,111.93,,,,,102.0,409.57,,0,0,0,102.0,0.015625,0.006024096385542169,0.009600903614457831,0,0,0,0,0,0,0.5,0.35000000000000003
2018-02-28,2018,Iraq,Saudi Arabia,iraq,saudi arabia,Friendly,1,1,0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,3.0,-3.0,0,0,1,2,16,2018-02-15,85.0,405.94,2018-02-15,64.0,521.5,,,,,-21.0,-115.56,,0,0,0,21.0,0.011764705882352941,0.015625,-0.003860294117647059,0,0,0,0,0,0,-3.0,-1.1
2018-03-17,2018,Iran,Sierra Leone,iran,sierra leone,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,2,17,2018-03-15,33.0,791.89,2018-03-15,98.0,359.7,,,,,65.0,432.19,,0,0,0,65.0,0.030303030303030304,0.01020408163265306,0.020098948670377245,0,0,0,0,0,0,0.0,0.0
2018-03-21,2018,Zambia,Zimbabwe,zambia,zimbabwe,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,18,2018-03-15,77.0,437.84,2018-03-15,108.0,312.16,,,,,31.0,125.67999999999995,,0,0,0,31.0,0.012987012987012988,0.009259259259259259,0.003727753727753729,0,0,0,0,0,0,0.0,0.0
2018-03-21,2018,Andorra,Liechtenstein,andorra,liechtenstein,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,2,19,2018-03-15,130.0,232.29,2018-03-15,181.0,90.82,,,,,51.0,141.47,,0,0,0,51.0,0.007692307692307693,0.0055248618784530384,0.0021674458138546543,0,0,0,0,0,0,0.0,0.0
