team_clean,titles,win_probability,country
france,418,0.0836,France
england,418,0.0836,England
argentina,406,0.0812,Argentina
spain,385,0.077,Spain
brazil,342,0.0684,Brazil
germany,313,0.0626,Germany
netherlands,304,0.0608,Netherlands
belgium,300,0.06,Belgium
portugal,297,0.0594,Portugal
morocco,221,0.0442,Morocco
croatia,146,0.0292,Croatia
mexico,145,0.029,Mexico
switzerland,124,0.0248,Switzerland
senegal,116,0.0232,Senegal
iran,111,0.0222,IR Iran
south korea,110,0.022,Korea Republic
turkey,108,0.0216,Türkiye
colombia,106,0.0212,Colombia
algeria,101,0.0202,Algeria
austria,80,0.016,Austria
norway,79,0.0158,Norway
uruguay,65,0.013,Uruguay
united states,39,0.0078,USA
ivory coast,30,0.006,Côte D'Ivoire
paraguay,26,0.0052,Paraguay
czechia,26,0.0052,Czechia
tunisia,22,0.0044,Tunisia
egypt,21,0.0042,Egypt
dr congo,19,0.0038,Congo DR
japan,16,0.0032,Japan
sweden,16,0.0032,Sweden
scotland,16,0.0032,Scotland
bosnia and herzegovina,14,0.0028,Bosnia And Herzegovina
australia,13,0.0026,Australia
canada,11,0.0022,Canada
ecuador,10,0.002,Ecuador
panama,7,0.0014,Panama
ghana,4,0.0008,Ghana
south africa,4,0.0008,South Africa
uzbekistan,3,0.0006,Uzbekistan
saudi arabia,3,0.0006,Saudi Arabia
haiti,2,0.0004,Haiti
qatar,1,0.0002,Qatar
curacao,1,0.0002,Curaçao
iraq,1,0.0002,Iraq
